Impl/Ranks,Problem Size,Time
seq/1,768,175.037467000
par_b/2,768,158.002362000
par_nb/2,768,140.361186000
par_b/6,768,54.212399000
par_nb/6,768,48.069618000
par_b/12,768,27.960573000
par_nb/12,768,24.631968000
par_b/24,768,15.331093000
par_nb/24,768,14.338206000
par_b/48,768,7.316364000
par_nb/48,768,6.838490000
par_b/96,768,5.438734000
par_nb/96,768,4.255174000
seq/1,192,2.756108000
par_b/2,192,2.497451000
par_nb/2,192,2.235712000
par_b/6,192,0.905841000
par_nb/6,192,0.887111000
par_b/12,192,0.573185000
par_nb/12,192,0.498121000
par_b/24,192,0.456580000
par_b/48,192,0.404194000
par_nb/96,192,0.635401000
seq/1,384,21.964980000
par_b/2,384,19.573484000
par_nb/2,384,17.745588000
par_b/6,384,6.918894000
par_nb/6,384,6.148043000
par_b/12,384,3.916522000
par_nb/12,384,3.314407000
par_b/24,384,2.047971000
par_nb/24,384,1.791158000
par_b/48,384,1.528906000
par_nb/48,384,1.093044000
par_nb/96,384,1.072992000
seq/1,768,174.873112000
par_b/2,768,157.725348000
par_nb/2,768,140.605168000
par_b/6,768,54.141579000
par_nb/6,768,48.195925000
par_b/12,768,27.761141000
par_nb/12,768,24.658192000
par_b/24,768,14.612845000
par_nb/24,768,12.611818000
par_b/48,768,7.351750000
par_nb/48,768,7.105571000
par_b/96,768,4.738128000
par_nb/96,768,4.137915000
seq/1,192,2.757663000
par_b/2,192,2.481741000
par_nb/2,192,2.221537000
par_b/6,192,0.901526000
par_nb/6,192,0.850381000
par_b/12,192,0.551414000
par_nb/12,192,0.517080000
par_b/24,192,0.438173000
par_nb/24,192,0.370730000
par_b/48,192,0.389320000
par_nb/48,192,0.294233000
par_b/96,192,0.382443000
par_nb/96,192,0.635661000
seq/1,384,22.093752000
par_b/2,384,19.717915000
par_nb/2,384,17.728822000
par_b/6,384,6.884961000
par_nb/6,384,6.147318000
par_b/12,384,3.563100000
par_nb/12,384,3.436869000
par_b/24,384,2.064816000
par_nb/24,384,1.788560000
par_b/48,384,1.219221000
par_nb/48,384,1.138143000
par_b/96,384,1.420028000
par_nb/96,384,1.076546000
seq/1,768,175.254067000
par_b/2,768,158.537069000
par_nb/2,768,140.508580000
par_b/6,768,54.083115000
par_nb/6,768,48.009259000
par_b/12,768,27.741777000
par_nb/12,768,24.513318000
par_b/24,768,14.662124000
par_b/48,768,7.906539000
par_nb/48,768,7.907701000
par_b/96,768,6.543160000
par_nb/96,768,4.592590000
seq/1,192,2.755784000
par_b/2,192,2.515558000
par_nb/2,192,2.247540000
par_b/6,192,0.919475000
par_nb/6,192,0.861086000
par_b/12,192,0.614215000
par_nb/12,192,0.509726000
par_b/24,192,0.448258000
par_nb/24,192,0.380953000
par_b/48,192,0.393170000
par_nb/48,192,0.300658000
par_b/96,192,0.786927000
par_nb/96,192,0.607409000
seq/1,384,21.963449000
par_b/2,384,19.660586000
par_nb/2,384,17.666326000
par_b/6,384,6.914026000
par_nb/6,384,6.209769000
par_b/12,384,3.574288000
par_nb/12,384,3.289740000
par_b/24,384,2.002590000
par_nb/24,384,1.792659000
par_b/48,384,1.166543000
par_nb/48,384,1.040154000
par_b/96,384,1.363005000
par_nb/96,384,1.050790000
seq/1,768,175.019264000
par_b/2,768,157.983005000
par_nb/2,768,140.395889000
par_b/6,768,54.153548000
par_nb/6,768,48.625711000
par_b/12,768,28.525409000
par_nb/12,768,24.825253000
par_b/24,768,14.355921000
par_nb/24,768,12.580360000
par_b/48,768,7.318092000
par_nb/48,768,7.396608000
par_b/96,768,5.651225000
par_nb/96,768,4.739024000
seq/1,192,2.755643000
par_b/2,192,2.497071000
par_nb/2,192,2.246193000
par_b/6,192,0.895884000
par_nb/6,192,0.859548000
par_b/12,192,0.583087000
par_nb/12,192,0.507076000
par_b/24,192,0.457531000
par_nb/24,192,0.394745000
par_b/48,192,0.390649000
par_nb/48,192,0.287910000
par_b/96,192,0.376820000
par_nb/96,192,0.627405000
seq/1,384,22.292359000
par_b/2,384,20.004567000
par_nb/2,384,17.710781000
par_b/6,384,6.919679000
par_nb/6,384,6.149472000
par_b/12,384,3.570155000
par_nb/12,384,3.314459000
par_b/24,384,2.027939000
par_nb/24,384,1.831815000
par_b/48,384,1.498717000
par_nb/48,384,1.168106000
par_b/96,384,1.334871000
par_nb/96,384,1.452278000
seq/1,768,176.253649000
par_b/2,768,158.924373000
par_nb/2,768,139.121055000
par_b/6,768,54.211796000
par_nb/6,768,48.053613000
par_b/12,768,27.784383000
par_nb/12,768,25.063993000
par_b/24,768,14.286898000
par_nb/24,768,13.064497000
par_b/48,768,8.480285000
par_nb/48,768,7.901677000
par_nb/96,768,4.265244000
seq/1,192,2.836180000
par_b/2,192,2.510997000
par_nb/2,192,2.235467000
par_b/6,192,0.903601000
par_nb/6,192,0.889890000
par_b/12,192,0.555617000
par_nb/12,192,0.511449000
par_b/24,192,0.446134000
par_nb/24,192,0.364598000
par_b/48,192,0.392637000
par_nb/48,192,0.293383000
par_b/96,192,0.374435000
par_nb/96,192,0.620388000
seq/1,384,21.966405000
par_b/2,384,19.940294000
par_nb/2,384,17.582923000
par_b/6,384,7.132829000
par_nb/6,384,6.386397000
par_b/12,384,3.546093000
par_nb/12,384,3.306691000
par_b/24,384,1.993919000
par_nb/24,384,1.866237000
par_b/48,384,1.543450000
par_nb/48,384,1.053178000
par_b/96,384,1.383363000
par_nb/96,384,1.044671000
