Impl/Ranks,Problem Size,Time
seq/1,768,0.565274000
par_complex/2,768,0.795300000
par_simple/2,768,0.752955000
par_complex/6,768,0.667209000
par_simple/6,768,0.535246000
par_complex/12,768,0.565597000
par_simple/12,768,0.431856000
par_complex/24,768,1.473907000
par_simple/24,768,0.822779000
par_complex/48,768,1.491344000
par_simple/48,768,0.854144000
par_complex/96,768,1.551605000
par_simple/96,768,0.834090000
seq/1,1536,2.389102000
par_complex/2,1536,2.831705000
par_simple/2,1536,2.751073000
par_complex/6,1536,1.728867000
par_simple/6,1536,1.444744000
par_complex/12,1536,1.319147000
par_simple/12,1536,1.087947000
par_complex/24,1536,2.927685000
par_simple/24,1536,1.614540000
par_complex/48,1536,2.933242000
par_simple/48,1536,1.640187000
par_complex/96,1536,2.982613000
par_simple/96,1536,1.620459000
seq/1,3072,9.620457000
par_complex/2,3072,10.730886000
par_simple/2,3072,10.559787000
par_complex/6,3072,5.142604000
par_simple/6,3072,4.624099000
par_complex/12,3072,3.462231000
par_simple/12,3072,2.903880000
par_complex/24,3072,6.028953000
par_simple/24,3072,3.459182000
par_complex/48,3072,5.859440000
par_simple/48,3072,3.304979000
par_complex/96,3072,5.941644000
par_simple/96,3072,3.143634000
seq/1,6144,38.514343000
par_complex/2,6144,41.720021000
par_simple/2,6144,41.409650000
par_complex/6,6144,17.269419000
par_simple/6,6144,16.225851000
par_complex/12,6144,10.353195000
par_simple/12,6144,9.403681000
par_complex/24,6144,12.865235000
par_simple/24,6144,7.596785000
par_complex/48,6144,12.173599000
par_simple/48,6144,7.164975000
par_complex/96,6144,11.873869000
par_simple/96,6144,6.476060000
seq/1,768,0.559901000
par_complex/2,768,0.793901000
par_simple/2,768,0.749667000
par_complex/6,768,0.665449000
par_simple/6,768,0.526410000
par_complex/12,768,0.638847000
par_simple/12,768,0.458130000
par_complex/24,768,1.476404000
par_simple/24,768,0.829087000
par_complex/48,768,1.495559000
par_simple/48,768,0.840261000
par_complex/96,768,1.584817000
par_simple/96,768,0.828198000
seq/1,1536,2.374837000
par_complex/2,1536,2.796124000
par_simple/2,1536,2.740741000
par_complex/6,1536,1.733097000
par_simple/6,1536,1.455413000
par_complex/12,1536,1.323694000
par_simple/12,1536,1.068290000
par_complex/24,1536,2.913893000
par_simple/24,1536,1.599052000
par_complex/48,1536,2.913544000
par_simple/48,1536,1.627589000
par_complex/96,1536,2.959001000
par_simple/96,1536,1.579767000
seq/1,3072,9.660308000
par_complex/2,3072,10.689046000
par_simple/2,3072,10.555996000
par_complex/6,3072,5.209724000
par_simple/6,3072,4.607409000
par_complex/12,3072,3.451186000
par_simple/12,3072,2.947385000
par_complex/24,3072,6.034594000
par_simple/24,3072,3.397473000
par_complex/48,3072,5.860034000
par_simple/48,3072,3.321591000
par_complex/96,3072,5.941425000
par_simple/96,3072,3.170807000
seq/1,6144,38.382151000
par_complex/2,6144,46.493926000
par_simple/2,6144,41.547110000
par_complex/6,6144,17.246438000
par_simple/6,6144,16.201345000
par_complex/12,6144,10.386307000
par_simple/12,6144,9.330309000
par_complex/24,6144,12.780805000
par_simple/24,6144,7.645361000
par_complex/48,6144,12.166688000
par_simple/48,6144,7.244722000
par_complex/96,6144,11.865944000
par_simple/96,6144,6.476460000
seq/1,768,0.559892000
par_complex/2,768,0.801581000
par_simple/2,768,0.750455000
par_complex/6,768,0.659167000
par_simple/6,768,0.528966000
par_complex/12,768,0.565483000
par_simple/12,768,0.437371000
par_complex/24,768,1.477737000
par_simple/24,768,0.813811000
par_complex/48,768,1.494352000
par_simple/48,768,0.840961000
par_complex/96,768,1.562228000
par_simple/96,768,0.823880000
seq/1,1536,2.368885000
par_complex/2,1536,2.827491000
par_simple/2,1536,2.728139000
par_complex/6,1536,1.715469000
par_simple/6,1536,1.457226000
par_complex/12,1536,1.305370000
par_simple/12,1536,1.084112000
par_complex/24,1536,2.970828000
par_simple/24,1536,1.618601000
par_complex/48,1536,2.932421000
par_simple/48,1536,1.616725000
par_complex/96,1536,2.988643000
par_simple/96,1536,1.575273000
seq/1,3072,9.634120000
par_complex/2,3072,10.681727000
par_simple/2,3072,11.665562000
par_complex/6,3072,5.164503000
par_simple/6,3072,4.617078000
par_complex/12,3072,3.463829000
par_simple/12,3072,2.967144000
par_complex/24,3072,6.040994000
par_simple/24,3072,3.434560000
par_complex/48,3072,5.815743000
par_simple/48,3072,3.279920000
par_complex/96,3072,5.898433000
par_simple/96,3072,3.126964000
seq/1,6144,38.542466000
par_complex/2,6144,42.014222000
par_simple/2,6144,41.459377000
par_complex/6,6144,17.278629000
par_simple/6,6144,16.228447000
par_complex/12,6144,10.403652000
par_simple/12,6144,9.378934000
par_complex/24,6144,12.847859000
par_simple/24,6144,7.651656000
par_complex/48,6144,12.214325000
par_simple/48,6144,7.182834000
par_complex/96,6144,11.935086000
par_simple/96,6144,6.520258000
seq/1,768,0.560296000
par_complex/2,768,0.794714000
par_simple/2,768,0.750908000
par_complex/6,768,0.666993000
par_simple/6,768,0.527537000
par_complex/12,768,0.563211000
par_simple/12,768,0.444322000
par_complex/24,768,1.484463000
par_simple/24,768,0.813095000
par_complex/48,768,1.490276000
par_simple/48,768,0.844706000
par_complex/96,768,1.533633000
par_simple/96,768,0.838135000
seq/1,1536,2.373158000
par_complex/2,1536,2.825603000
par_simple/2,1536,2.739120000
par_complex/6,1536,1.814613000
par_simple/6,1536,1.459222000
par_complex/12,1536,1.323054000
par_simple/12,1536,1.057009000
par_complex/24,1536,2.918410000
par_simple/24,1536,1.609829000
par_complex/48,1536,2.954720000
