Impl/Ranks,Problem Size,Repetitions,Time_mean,Time_std,Speedup,Efficiency
seq/1,768,5,0.56,0.0,1.0,1.0
par_b/2,768,5,0.79,0.0,0.71,0.35
par_nb/2,768,5,0.66,0.0,0.84,0.42
par_b/6,768,5,0.67,0.0,0.84,0.14
par_nb/6,768,5,0.46,0.0,1.21,0.2
par_b/12,768,5,0.57,0.01,0.98,0.08
par_nb/12,768,5,0.39,0.01,1.44,0.12
par_b/24,768,5,1.48,0.0,0.38,0.02
par_nb/24,768,5,0.8,0.0,0.7,0.03
par_b/48,768,5,1.5,0.01,0.37,0.01
par_nb/48,768,5,0.84,0.01,0.67,0.01
par_b/96,768,5,1.54,0.02,0.36,0.0
par_nb/96,768,5,0.83,0.01,0.68,0.01
seq/1,1536,5,2.37,0.01,1.0,1.0
par_b/2,1536,5,2.8,0.01,0.85,0.42
par_nb/2,1536,5,2.36,0.01,1.0,0.5
par_b/6,1536,5,1.73,0.0,1.37,0.23
par_nb/6,1536,5,1.27,0.01,1.87,0.31
par_b/12,1536,5,1.32,0.01,1.79,0.15
par_nb/12,1536,5,0.91,0.01,2.61,0.22
par_b/24,1536,5,2.92,0.01,0.81,0.03
par_nb/24,1536,5,1.5,0.01,1.58,0.07
par_b/48,1536,5,2.94,0.03,0.81,0.02
par_nb/48,1536,5,1.56,0.01,1.51,0.03
par_b/96,1536,5,2.99,0.02,0.79,0.01
par_nb/96,1536,5,1.54,0.01,1.54,0.02
seq/1,3072,5,9.66,0.03,1.0,1.0
par_b/2,3072,5,10.72,0.05,0.9,0.45
par_nb/2,3072,5,9.01,0.04,1.07,0.54
par_b/6,3072,5,5.17,0.02,1.87,0.31
par_nb/6,3072,5,3.96,0.01,2.44,0.41
par_b/12,3072,5,3.57,0.17,2.71,0.23
par_nb/12,3072,5,2.62,0.17,3.69,0.31
par_b/24,3072,5,6.03,0.01,1.6,0.07
par_nb/24,3072,5,2.93,0.01,3.29,0.14
par_b/48,3072,5,5.85,0.03,1.65,0.03
par_nb/48,3072,5,3.02,0.03,3.2,0.07
par_b/96,3072,5,5.87,0.02,1.65,0.02
par_nb/96,3072,5,3.02,0.03,3.19,0.03
seq/1,6144,5,38.49,0.09,1.0,1.0
par_b/2,6144,5,41.8,0.07,0.92,0.46
par_nb/2,6144,5,35.4,0.18,1.09,0.54
par_b/6,6144,5,17.28,0.02,2.23,0.37
par_nb/6,6144,5,13.8,0.03,2.79,0.46
par_b/12,6144,5,10.51,0.22,3.66,0.31
par_nb/12,6144,5,8.03,0.11,4.8,0.4
par_b/24,6144,5,12.86,0.07,2.99,0.12
par_nb/24,6144,5,5.76,0.07,6.68,0.28
par_b/48,6144,5,12.17,0.06,3.16,0.07
par_nb/48,6144,5,5.94,0.07,6.49,0.14
par_b/96,6144,5,11.94,0.04,3.22,0.03
par_nb/96,6144,5,5.95,0.06,6.47,0.07
