Impl/Ranks,Problem Size,Time
par_nb/2,768,0.661641000
par_b/6,768,0.668083000
par_nb/6,768,0.460808000
par_b/12,768,0.568235000
par_nb/12,768,0.382570000
par_b/24,768,1.473876000
par_nb/24,768,0.803409000
par_b/48,768,1.499536000
par_nb/48,768,0.838160000
par_b/96,768,1.538340000
par_nb/96,768,0.820105000
seq/1,1536,2.370282000
par_b/2,1536,2.792972000
par_nb/2,1536,2.358171000
par_b/6,1536,1.729526000
par_nb/6,1536,1.277471000
par_b/12,1536,1.305388000
par_nb/12,1536,0.890896000
par_b/24,1536,2.920981000
par_nb/24,1536,1.489417000
par_b/48,1536,2.994097000
par_nb/48,1536,1.559198000
par_b/96,1536,2.971927000
par_nb/96,1536,1.538177000
seq/1,3072,9.676366000
par_b/2,3072,10.699732000
par_nb/2,3072,9.018594000
par_b/6,3072,5.155622000
par_nb/6,3072,3.962045000
par_b/12,3072,3.466983000
par_nb/12,3072,2.527714000
par_b/24,3072,6.008573000
par_nb/24,3072,2.937708000
par_b/48,3072,5.849111000
par_nb/48,3072,2.990854000
par_b/96,3072,5.897172000
par_nb/96,3072,3.068264000
seq/1,6144,38.551108000
par_b/2,6144,41.715616000
par_nb/2,6144,35.335231000
par_b/6,6144,17.300371000
par_nb/6,6144,13.846174000
par_b/12,6144,10.394164000
par_nb/12,6144,7.931775000
par_b/24,6144,12.777133000
par_nb/24,6144,5.862810000
par_b/48,6144,12.157729000
par_nb/48,6144,5.894281000
par_b/96,6144,11.966314000
par_nb/96,6144,5.971806000
